pointEst	sd	95CILower	95CIupper
ATE	0.0592887028773025	0.0174869019094579	0.025014375134765	0.0935630306198399
ATE.aug	0.0652894533951365	0.0159882034895843	0.0339525745555513	0.0966263322347216
ATM	0.065784279533846	0.0134253428936125	0.0394706074623655	0.0920979516053266
ATM.aug	0.0684344600421219	0.0135060799298522	0.0419625433796115	0.0949063767046323
ATT	0.0580592833469269	0.0212141737750212	0.0164795027478853	0.0996390639459686
ATT.aug	0.0788506561191493	0.0180604358717953	0.0434522018104305	0.114249110427868
ATC	0.0599911641004316	0.0219453811429566	0.0169782170602368	0.103004111140627
ATC.aug	0.0563985506682882	0.0199497836734536	0.0172969746683191	0.0955001266682573
ATO	0.065389126755707	0.0132954689942987	0.0393300075268816	0.0914482459845324
ATO.aug	0.0671971272309581	0.0133698201686186	0.0409922797004655	0.0934019747614506
