pointEst	sd	95CILower	95CIupper
truncate0.01	0.0598498621717071	0.0164944002853393	0.027520837612442	0.0921788867309722
truncate0.02	0.059532945254982	0.016711459862144	0.0267784839251797	0.0922874065847843
truncate0.03	0.0591928308820217	0.0164741375098533	0.0269035213627093	0.0914821404013341
truncate0.04	0.0636494194622431	0.0161283740679194	0.0320378062891211	0.095261032635365
truncate0.05	0.066850384875603	0.0153969938097001	0.0366722770085909	0.0970284927426151
truncate0.06	0.0640076777353843	0.0152117700471345	0.0341926084430006	0.093822747027768
truncate0.07	0.0602243107896198	0.0154059368161417	0.0300286746299821	0.0904199469492574
truncate0.08	0.066333555043693	0.0152504022092154	0.0364427667136308	0.0962243433737553
truncate0.09	0.0602193565966489	0.0151784940539652	0.030469508250877	0.0899692049424208
truncate0.1	0.0586699514573125	0.0152272199041765	0.0288246004451265	0.0885153024694985
