pointEst	sd1	95CILower1	95CIupper1	sd2	95CILower2	95CIupper2	sd3	95CILower3	95CIupper3
truncate0.01	0.065891195024586	0.0140149008004249	0.038344303978698	0.093438086070474	0.0140428575833924	0.0382899774739645	0.0934924125752075	0.0145871380240761	0.0372316139700395	0.0945507760791325
truncate0.02	0.0653664404378004	0.013630617982313	0.0385799137078454	0.0921529671677555	0.0136592496812201	0.0385242437308193	0.0922086371447816	0.0142236272430643	0.0374261784830629	0.093306702392538
truncate0.03	0.064977401523403	0.0134691723453334	0.0385113076547793	0.0914434953920267	0.0134983191891847	0.0384546154078706	0.0915001876389354	0.0140770571051768	0.0373282095253915	0.0926265935214145
truncate0.04	0.064564004234185	0.0133203958210608	0.0383934366984622	0.0907345717699077	0.0133500991693249	0.0383356405810727	0.0907923678872972	0.0139478085481246	0.0371718865392966	0.0919561219290733
truncate0.05	0.0640586153863957	0.0131776667749457	0.038171756038235	0.0899454747345564	0.0132078930266979	0.0381129197482682	0.0900043110245231	0.0138263805221941	0.0369082559734371	0.0912089747993543
truncate0.06	0.0638494093869293	0.0130186209148806	0.0382785324806262	0.0894202862932324	0.0130497144791353	0.0382179824375102	0.0894808363363483	0.0136910962939258	0.036968214779397	0.0907306039944615
truncate0.07	0.0637255676912494	0.0129484564744118	0.0382951310454669	0.0891560043370319	0.0129803594700483	0.038232985283824	0.0892181500986748	0.0136412028513177	0.0369449062079035	0.0905062291745954
truncate0.08	0.0636640959166395	0.0129071298230254	0.0383171617656779	0.0890110300676011	0.0129398595923775	0.0382533876371368	0.0890748041961422	0.013617936330224	0.0369313645974015	0.0903968272358775
truncate0.09	0.063675797974265	0.0129123137655852	0.0383205135120704	0.0890310824364596	0.0129458553333732	0.0382551432854758	0.0890964526630542	0.0136388595408891	0.0369037358003865	0.0904478601481434
truncate0.1	0.0640826040871987	0.0129775315032424	0.0386003121787435	0.089564895995654	0.0130121637763307	0.0385328077260739	0.0896324004483236	0.0137175928882009	0.0371570056397649	0.0910082025346326
