pointEst	sd	95CILower	95CIupper
truncate0.01	0.0654928420711791	0.0159142316943532	0.0343009479502468	0.0966847361921114
truncate0.02	0.0645388209673936	0.0158855798329649	0.0334030844947825	0.0956745574400048
truncate0.03	0.0621115781936828	0.0156672006731738	0.0314038648742622	0.0928192915131034
truncate0.04	0.0643922236709487	0.0152837283777483	0.034436116050562	0.0943483312913354
truncate0.05	0.0658667209752055	0.0147227702295652	0.0370100913252578	0.0947233506251533
truncate0.06	0.06380901671919	0.0144976040850704	0.035393712712452	0.0922243207259279
truncate0.07	0.0596802447686146	0.0147257990985846	0.0308176785353887	0.0885428110018405
truncate0.08	0.06376812240256	0.0144700025956233	0.0354069173151382	0.0921293274899817
truncate0.09	0.0594039633050206	0.0145370591004755	0.0309113274680885	0.0878965991419526
truncate0.1	0.058536872191201	0.0146800121986968	0.0297640482817554	0.0873096961006467
