pointEst	sd1	95CILower1	95CIupper1	sd2	95CILower2	95CIupper2	sd3	95CILower3	95CIupper3
truncate0.01	0.0646165763593189	0.0145307075418022	0.0361024587890237	0.0931306939296142	0.0145567703510626	0.0360515616438808	0.093181591074757	0.0150839078394278	0.0350218646838822	0.0942112880347556
truncate0.02	0.0641823450822504	0.0143537415058297	0.0360166111665907	0.0923480789979101	0.0143801202309876	0.035965090909147	0.0923995992553538	0.0149189184459081	0.0349124906751407	0.0934521994893601
truncate0.03	0.0639583858587228	0.0141907809605811	0.0361136434000045	0.0918031283174411	0.0142177465476285	0.0360609699656609	0.0918558017517847	0.0147701386264704	0.0349816710085191	0.0929351007089265
truncate0.04	0.0636598302493718	0.014052040012444	0.0360885228736122	0.0912311376251315	0.0140795779632218	0.0360347243296947	0.0912849361690489	0.0146490666759227	0.0349218752172832	0.0923977852814604
truncate0.05	0.063335270502242	0.0139082980407477	0.0360472747564486	0.0906232662480354	0.0139364467768563	0.035992275203578	0.090678265800906	0.0145256819700563	0.0348406775647815	0.0918298634397025
truncate0.06	0.0631589294662773	0.0137630176310278	0.0361573045749385	0.0901605543576161	0.013791957963367	0.0361007499151026	0.0902171090174519	0.0144015016953923	0.0349092866658862	0.0914085722666684
truncate0.07	0.0630571966714096	0.013697169193632	0.0361857876439466	0.0899286056988726	0.0137268651259593	0.0361277497081588	0.0899866436346604	0.0143541451828349	0.0349014789506962	0.091212914392123
truncate0.08	0.0629617081498264	0.0136511746972675	0.0361814937650703	0.0897419225345826	0.0136816095932455	0.0361220051541978	0.089801411145455	0.01432547843818	0.0348631724302644	0.0910602438693884
truncate0.09	0.0630282344877938	0.0136641748644264	0.0362232195331164	0.0898332494424711	0.0136953932917749	0.0361621945944474	0.0898942743811401	0.0143531325048946	0.0348761455319932	0.0911803234435944
truncate0.1	0.0633976735004879	0.0136720116409323	0.0365780099260666	0.0902173370749092	0.0137043461436505	0.0365147981567111	0.0902805488442648	0.0143764042588925	0.0352006484604208	0.0915946985405551
