pointEst	sd1	95CILower1	95CIupper1	sd2	95CILower2	95CIupper2	sd3	95CILower3	95CIupper3
truncate0.01	0.0617617197819307	0.0155541935281745	0.0312591020927088	0.0922643374711526	0.0155765989915865	0.0312152613190233	0.0923081782448381	0.0155548000415017	0.0312579153335466	0.0922655242303148
truncate0.02	0.0627470005961147	0.0153909904063077	0.0325650029132948	0.0929289982789347	0.0154146327081544	0.0325187393812681	0.0929752618109614	0.0153918015880354	0.032563415591027	0.0929305856012025
truncate0.03	0.0636376576553581	0.0151988966547656	0.0338330732586439	0.0934422420520723	0.0152239187017314	0.0337841062876675	0.0934912090230488	0.0151998696638689	0.0338311691348036	0.0934441461759127
truncate0.04	0.0641698803453463	0.0150442174447558	0.0346693107052858	0.0936704499854068	0.015070425355817	0.0346180194227729	0.0937217412679197	0.0150452199110131	0.0346673487966614	0.0936724118940312
truncate0.05	0.0645317131132108	0.0148966032823206	0.0353213173726757	0.093742108853746	0.0149239411743736	0.0352678106793567	0.093795615547065	0.0148971691133203	0.035320209913704	0.0937432163127176
truncate0.06	0.0649711320746899	0.0148651711480497	0.0358228440538396	0.0941194200955403	0.0148935856723467	0.0357672274194554	0.0941750367299244	0.0148657930225447	0.0358216268456323	0.0941206373037475
truncate0.07	0.0655172891343555	0.0148030581513662	0.0364913544114556	0.0945432238572554	0.0148327632407795	0.0364332083410292	0.0946013699276817	0.0148036791500117	0.0364901388470931	0.0945444394216179
truncate0.08	0.065992322371384	0.0148036481170687	0.0369656531233068	0.0950189916194611	0.0148345154349784	0.0369052294092268	0.0950794153335411	0.0148043055163565	0.0369643662507365	0.0950202784920314
truncate0.09	0.0664974929432342	0.0147459810790732	0.0375844509843647	0.0954105349021037	0.0147781888005058	0.0375213997493187	0.0954735861371497	0.0147468074266033	0.0375828332987055	0.0954121525877629
truncate0.1	0.0671419139019859	0.014800035436109	0.0381231820367762	0.0961606457671957	0.0148335431723632	0.038057583815943	0.0962262439880289	0.0148011031150993	0.0381210918482109	0.096162735955761
