V1	V2
boot1	0.673825717947701	0.0644015005642096
boot2	0.482085085977349	0.0537594240116875
boot3	-0.146599095033519	0.0482798364234063
boot4	0.257487076134435	0.0527978667222193
boot5	0.155234173471212	0.0464203210610575
boot6	0.626086999304131	0.0594775487040871
boot7	0.204436828628717	0.046131759836038
boot8	0.497714161610283	0.0562144482972586
boot9	-0.0490777477134956	0.0468711779167807
boot10	0.487594734590966	0.0546818612137398
boot11	0.161174879552909	0.0531252993915228
boot12	-0.157784859960143	0.0602967509446581
boot13	0.322508181868021	0.0479573624918056
boot14	0.436745633718991	0.0567262964029294
boot15	-0.0304059102813026	0.0568273443494995
boot16	0.00950761545379815	0.0546115678533891
boot17	-0.217886391988296	0.0575135186156617
boot18	0.319470995155436	0.0541011433082688
boot19	0.464527844462107	0.0460544456335034
boot20	0.701347445040061	0.053555557642692
boot21	0.167575343877736	0.0544630766702032
boot22	-0.201221594878962	0.0487010010253744
boot23	0.505756853319299	0.053581938195267
boot24	0.680705758601645	0.0590639773521863
boot25	-0.539772201605567	0.0533454009824698
boot26	0.604107298200303	0.0615946270663161
boot27	0.587689138901276	0.0520842988302554
boot28	0.226692658481849	0.0512627225728987
boot29	0.217262960237454	0.0538982459204785
boot30	0.511078653644898	0.0542811598593625
boot31	0.142584208805403	0.0505132935163711
boot32	0.0285313741143737	0.050728923350638
boot33	0.0732068631399644	0.0551057248495389
boot34	0.275396699016577	0.0471884303035101
boot35	-0.23629297203925	0.058834135770609
boot36	0.236756428532193	0.0503264240642802
boot37	-0.0387471461144304	0.0507870155931279
boot38	0.517536996536925	0.0575863928987586
boot39	-0.180272966929737	0.0539527354819628
boot40	0.562592821177962	0.0503230497921176
boot41	-0.134355926822613	0.0478261597845063
boot42	0.13610032784619	0.0606814587810545
boot43	0.77564315372189	0.0531770778986895
boot44	0.10037231421222	0.0523995192512288
boot45	0.535250242059223	0.0643017176517567
boot46	0.422256672789693	0.043992607072084
boot47	-0.246981456482262	0.062144309735417
