V1	V2
boot1	0.275219605115985	0.0906961062748836
boot2	0.11995132696524	0.0799121203288368
boot3	-0.591897520184309	0.0763466957707983
boot4	0.402696172665875	0.0823839953900424
boot5	-0.0502344521297724	0.0732343427405933
boot6	0.550982474292676	0.0934374320482183
boot7	0.235400325201764	0.0674332397832189
boot8	0.603962700670278	0.0785371888449621
boot9	-0.0154393176799265	0.0785472238839448
boot10	0.447773299483515	0.0731202405138732
boot11	0.078157858304764	0.06741230467266
boot12	-0.176384300442454	0.071306726767661
boot13	0.0310907047795494	0.071268931783826
boot14	-0.16598712426328	0.0788719292326472
boot15	0.224025198920944	0.0940197872279133
boot16	0.182879859890759	0.0716295842365256
boot17	-0.18262193845142	0.0843666065888706
boot18	0.265100124639315	0.0798885011612038
boot19	0.514884793156197	0.0734605817125331
boot20	0.37481086402935	0.0813336301489096
boot21	0.326311049961766	0.0732873719328336
boot22	0.0154160943647237	0.0684440067409779
boot23	-0.0829331275175416	0.0726343143331968
boot24	0.625822248396786	0.0832855840884866
boot25	-0.394943714162739	0.0850338137067324
boot26	0.838762282830954	0.0878413503511751
boot27	0.431516554457382	0.0777451579682078
boot28	0.190210506699816	0.0703433080954812
boot29	-0.248196493433731	0.0761939329443651
boot30	0.642868300962878	0.0795544032914996
boot31	0.342799097262217	0.0763311611296355
boot32	-0.0572148398666996	0.0762424658687555
boot33	0.120057313075201	0.0809139150013543
boot34	0.334316049843123	0.0723713500074794
boot35	-0.161096898552281	0.0976293022071933
boot36	0.182970742336043	0.0663384698774057
boot37	-0.279217492881046	0.078377823217716
boot38	0.402057183843298	0.0863004503086784
boot39	-0.0586530332074719	0.093348719324437
boot40	-0.148471481740535	0.0807122566233825
boot41	-0.380258737357794	0.0878246420946563
boot42	0.0701695327352175	0.0856391403260052
boot43	0.809152288988638	0.0727738252970638
boot44	0.582638650243179	0.0821078427256093
boot45	0.0999948016767126	0.0878867232008849
boot46	0.340543755510126	0.0781621701859278
boot47	0.189467554959532	0.0845494947700603
boot48	0.270993055523734	0.0776040625119485
boot49	-0.245267484934949	0.0858733224352015
boot50	0.527439892340167	0.0740701732649773
boot51	-0.132694137326431	0.0861401154453857
boot52	0.036006838976573	0.0640164373221937
boot53	0.338799524425218	0.0860742012648343
boot54	0.171267064660987	0.0839819694779992
boot55	0.0781713071588836	0.0700874637732607
boot56	0.458151729337976	0.0786745036258013
boot57	0.486908308911114	0.0695329450888617
boot58	0.143815612227914	0.0677306357483531
boot59	0.4496145700544	0.0915142916850086
boot60	0.363473071976855	0.0887138811057313
boot61	0.300299863005105	0.0782866617474911
boot62	-0.0269826543952551	0.0734278803405733
boot63	-0.271297690319159	0.0806434903302669
boot64	-0.218187872389494	0.0753979760083333
boot65	0.320094566823482	0.0899558778197356
boot66	0.583437911573913	0.0681853152208318
boot67	0.0330687252219717	0.0783496527519798
boot68	0.0470041184889055	0.07526791798992
boot69	-0.0763455367699075	0.0645278954608125
boot70	0.0287740664724925	0.0728112162983676
boot71	0.432150406941533	0.0730456112498181
boot72	0.159983564792891	0.0919840081067625
boot73	-0.163295638129771	0.0756772220177606
boot74	0.106219509814909	0.077636385937434
boot75	-0.033966220856031	0.082871584189288
boot76	-0.147737990082503	0.0798570125850871
boot77	-0.391775303717049	0.0742935616219848
boot78	-0.207887058511019	0.0731559927600735
boot79	0.23430170254224	0.0643106908351375
boot80	0.181833448281571	0.0677769755408133
boot81	0.809314680160171	0.0865733259332403
boot82	-0.0372159027760318	0.0830905842984511
boot83	0.335819456850566	0.084447875384085
boot84	0.34970385492606	0.0876228131192828
boot85	0.32958364024088	0.0862086611378604
boot86	0.47297189869024	0.0697084008040792
boot87	-0.204652223850365	0.0771968040822373
boot88	0.496862162481232	0.068859457517661
boot89	0.00264059137703414	0.0741593495817192
boot90	0.0675575344236852	0.0869191550468007
boot91	0.0898845317003346	0.0693546907698205
boot92	0.366479802659171	0.0776772628771719
boot93	0.382635130837123	0.0789782019952657
boot94	0.353092968737711	0.0623455691903439
boot95	0.33601083618718	0.0966539237781524
boot96	0.447765169030592	0.0807506592869082
boot97	0.23301100608373	0.0743875562239299
boot98	0.400770559672472	0.0876333109612036
boot99	0.559517896413042	0.083139734240245
boot100	0.272346989871394	0.0847586110772444
boot101	-0.150085813436682	0.0735908347778271
boot102	0.386727298743425	0.0785201733174083
boot103	0.591984088900664	0.0797057780216116
boot104	-0.165095119342794	0.0753559358773569
boot105	-0.196949706244921	0.063646038291332
