V1	V2
boot1	0.385453265050965	0.0396632779823745
boot2	0.232396095237925	0.0347129040093241
boot3	-0.56291221006198	0.0368548491343783
boot4	0.260931486194653	0.0386385636362353
boot5	0.159955147183992	0.0381211339591096
boot6	0.130748591937301	0.0490993914983913
boot7	0.0237838910842661	0.0322040859890696
boot8	0.327780293953382	0.0393788840742587
boot9	-0.317536944266178	0.0368114661640142
boot10	0.0964715040630355	0.0396939155863656
boot11	-0.100853414002225	0.0333161026978531
boot12	-0.327415731472462	0.037317012928419
boot13	0.159290379075194	0.0348025196654169
boot14	-0.0756385104367314	0.0436271219297256
boot15	-0.445377029217792	0.0386376645556161
boot16	-0.057421726329818	0.0349111212926264
boot17	-0.349776037044205	0.0370317366900033
boot18	0.168382938979567	0.0385742998257194
boot19	0.236739093799351	0.0388388414010435
boot20	0.0346240769077444	0.0397125222503753
boot21	0.412916343870271	0.0463314204387098
boot22	-0.184795270651877	0.0338588821241177
boot23	0.159809032318318	0.0367777134491205
boot24	0.450698098047994	0.0392272300751821
boot25	-0.486788296193505	0.0321002305300061
boot26	0.415352508534168	0.0378526137870543
boot27	0.41709936666262	0.0304184693480017
boot28	0.173341627108186	0.0288905285229098
boot29	-0.009652907675935	0.0378748030354142
boot30	0.637237703745093	0.0361689243842215
boot31	0.154790061508321	0.0340688028594362
boot32	-0.12245798640439	0.0319083826138457
boot33	-0.182182916056981	0.0363939163420794
boot34	-0.0213570754102725	0.0357342871390807
boot35	-0.146994296997713	0.0385082229385343
boot36	0.233216877462769	0.032760509088655
boot37	-0.252565941027394	0.0335999279070431
boot38	0.445290428886723	0.0394804179009398
boot39	-0.314334579951844	0.0410661730929243
boot40	0.175815246252279	0.0380089213855367
boot41	-0.461776012422896	0.0352619466750728
boot42	0.154919736107574	0.0460705517744127
boot43	0.483999754377578	0.0324406170287105
boot44	0.130280932768465	0.0426851454287716
boot45	0.170939912767602	0.0427747838726067
boot46	0.144146960924942	0.0376643274601716
boot47	-0.219727845546108	0.0386994108743446
boot48	-0.301788669150304	0.0320100374758751
boot49	-0.22926837917087	0.0358746149751148
boot50	0.368521492833184	0.0380500856352868
boot51	-0.3841838253357	0.040926276968575
boot52	0.279255376101709	0.0364070059005496
boot53	-0.0280358026623873	0.0450525090986587
boot54	-0.24995401967552	0.0338052160278003
boot55	-0.110549758625044	0.037750864128094
boot56	0.280103953832644	0.0422385512470147
boot57	0.519068140895857	0.0360513621692806
boot58	0.0238100909740587	0.0342149092714314
boot59	0.325712407559708	0.0372823719333089
boot60	0.149430581527444	0.0362951633962416
boot61	0.286612436467328	0.0411249971365929
boot62	-0.257805442774619	0.0335260555692075
boot63	-0.210340257812129	0.0352570093388806
boot64	-0.32009999129949	0.0346579065555203
