V1	V2
boot1	0.365551657423873	0.0332005996525346
boot2	0.187237351798825	0.028229470472997
boot3	-0.82151021543466	0.0303233073005439
boot4	0.37629502087131	0.0315394038968334
boot5	0.0990389960175472	0.0336322891823938
boot6	0.0135568164194151	0.0404583779308933
boot7	-0.0857608882774764	0.0258471176987815
boot8	0.237255839709571	0.0334132685491604
boot9	-0.452791695753925	0.0294914516394679
boot10	-0.0899553098391976	0.0309599129996929
boot11	-0.2290032027381	0.0261502285209044
boot12	-0.356476048782027	0.0336771030650974
boot13	0.01067069642397	0.0283478979622151
boot14	0.0230199187389298	0.0345901228292134
boot15	-0.60723025766285	0.0330124073745962
boot16	-0.0331533424356465	0.0312859657202494
boot17	-0.450282577567222	0.031613206118585
boot18	0.117527007339757	0.0337673796491939
boot19	0.014718464775183	0.0309967525255182
boot20	-0.416579233900148	0.0318568732725026
boot21	0.486958903980904	0.0418585208421726
boot22	-0.214837092094504	0.0286397490781935
boot23	0.0840241327900607	0.0310756735010443
boot24	0.351204582564973	0.0328209854322399
boot25	-0.491360254899586	0.0284654008648656
boot26	0.36111627691502	0.0331484089079227
boot27	0.256226018702433	0.0261659967477693
boot28	0.169128464623459	0.0242142049095229
boot29	-0.210996268250676	0.0304223695069533
boot30	0.616269996046684	0.0311525217390579
boot31	0.123760926377614	0.0284194325517354
boot32	-0.0921319693304907	0.0263475625790199
boot33	-0.408424750773477	0.0300261630525511
boot34	-0.100942122193126	0.0288743811264181
boot35	-0.241811712229726	0.0340636197343528
boot36	0.210871185155416	0.0279341578496396
boot37	-0.204466427727527	0.0269972834956941
boot38	0.336018344235433	0.0332957343820205
boot39	-0.465381291032236	0.0346544863881286
boot40	0.0813266494412175	0.0324983339477839
boot41	-0.508801689794989	0.0301611900711209
boot42	0.137674064803255	0.041273932473411
boot43	0.299307253862188	0.0276683372566808
boot44	-0.180817708102582	0.0390601214068471
boot45	0.0255605166273596	0.0335993630797696
boot46	-0.0274249046614508	0.0294487090517228
boot47	-0.35971788760075	0.0347165281045689
boot48	-0.428137954275311	0.0266096841234417
boot49	-0.334426129142241	0.0276875218390976
boot50	0.407122119874229	0.03192424291337
boot51	-0.558179147673826	0.0343429210845175
boot52	0.444727683409382	0.0309350887496498
boot53	-0.353801322268797	0.0379120766972956
boot54	-0.49326944575395	0.0291675285865241
boot55	-0.268514826676516	0.0317924844218998
boot56	0.220914652053018	0.0387313408234647
boot57	0.396988672727488	0.029899502463681
boot58	-0.233001071471965	0.0278048486022286
boot59	0.212001553416017	0.0298397781713868
boot60	-0.0952549660880087	0.030653745520285
boot61	0.343501278094456	0.0355260522165636
boot62	-0.482645649560721	0.0280591028306657
boot63	-0.452113754523958	0.0296057001895186
boot64	-0.442106367882515	0.0281855329033753
boot65	0.252241215516655	0.0326468140600986
boot66	-0.0157968178113022	0.0269957717381978
boot67	-0.206445792849321	0.0307015753436476
boot68	-0.271951428708004	0.0287803641179753
boot69	-0.57789116469321	0.0262770160115775
boot70	-0.30175761527503	0.0278365948503721
boot71	0.355496012813745	0.0280950488395494
boot72	-0.173310162411043	0.0367436651956965
boot73	-0.539170568599925	0.0258765821867894
boot74	-0.011800941527717	0.0311316121436671
boot75	-0.240842367113539	0.0317537377907892
boot76	-0.309636041980094	0.0310617278988432
boot77	-0.593986268900316	0.0267724742661453
boot78	-0.195596186244131	0.0268706784530594
boot79	-0.215850483533657	0.029956221340407
boot80	0.128081656312999	0.0304450233224847
boot81	0.384735911999666	0.0324905293928229
boot82	-0.0737890953378505	0.0317726773149252
boot83	0.268177864567205	0.0286877977783472
boot84	0.110384214066978	0.0366636333607766
boot85	-0.31385583946223	0.0297362700576884
boot86	0.124644677805768	0.0307788625858423
boot87	-0.215200914724508	0.0312140255574832
boot88	-0.127892668012299	0.0301433199608917
boot89	-0.0185658826469533	0.028936159176408
boot90	-0.245492966458661	0.0316733689084501
boot91	-0.118298322033222	0.0271646261277652
boot92	-0.34170129610355	0.0297062398454329
boot93	-0.20915765597082	0.0321154423446364
boot94	-0.189231420950679	0.0277699720051752
boot95	-0.0078153781618356	0.0309576647776246
boot96	0.183594380383366	0.029096369029446
boot97	-0.44946838282071	0.0329331622915141
boot98	0.320841095239517	0.0286379965458997
boot99	-0.154103314208587	0.0343375639723554
boot100	-0.0457568831463161	0.0305672442566042
boot101	-0.169194180653055	0.0317880202331228
boot102	-0.31420594606232	0.029862990297117
boot103	0.250715324254225	0.0317039215639998
boot104	-0.109013149319449	0.0301024582395356
boot105	-0.316079217884492	0.0246672192119725
boot106	0.532004980999022	0.0299368950365289
boot107	0.232787055564636	0.0405634474090758
boot108	-0.0403755062088297	0.0303867095918082
boot109	0.272945353608429	0.0273513018564978
boot110	-0.178789475523947	0.0265388302906302
boot111	0.0969395857809775	0.0246192821632512
boot112	-0.131952197321803	0.0314061711579078
boot113	0.0747368462026704	0.0323311775731135
boot114	-0.440815317974851	0.0303230717492748
boot115	0.125569446310339	0.0292483899709619
boot116	-0.253664119226761	0.0328531534860182
boot117	0.2247112792867	0.034766751375143
boot118	-0.282004494205926	0.0320741191048835
boot119	0.0774343400593126	0.0319830082470863
boot120	0.16305041446816	0.0334773441660718
boot121	0.121163875807376	0.0309097652120136
boot122	-0.312827069630892	0.0294352226900505
boot123	-0.66191602549114	0.0285063863045365
boot124	-0.342281467767207	0.0297094297074565
boot125	-0.233130444646247	0.0278118854169111
boot126	-0.115778055829835	0.0376436791018173
boot127	0.206424733492599	0.031704413386731
boot128	-0.330212715320783	0.0316495374297243
boot129	-0.345961319382988	0.0309782010379379
boot130	0.101578490414485	0.0291294982072232
boot131	0.0783416238054873	0.030533384496121
boot132	0.076062080800906	0.027955465887599
boot133	-0.0200975758934368	0.027697913293116
boot134	0.345087385671327	0.0314724232405804
boot135	-0.165873127738792	0.0313983268467023
boot136	0.0699672907136295	0.0287615502543578
boot137	0.235681085918524	0.0285777181388851
boot138	-0.106449269910044	0.0279965538847378
boot139	0.0915434545057994	0.0270503437270566
boot140	0.256527595716959	0.0277638113496549
boot141	0.0652147569948214	0.029496732507864
boot142	-0.333740013895439	0.0316125273047601
boot143	-0.428271803575918	0.0292441532200404
boot144	1.05246068036065	0.037699291192266
boot145	-0.4326156429836	0.0305694027354932
boot146	-0.110450962639414	0.0306921056792732
boot147	0.123783275409848	0.0329701938926269
boot148	0.379103342916038	0.0324780916628717
boot149	-0.756282643715794	0.0327163436094172
boot150	-0.408083748915874	0.029830993407545
boot151	0.0504069847582116	0.0330921367466506
boot152	-0.66209116297434	0.0309392730271347
boot153	0.0773503714562217	0.0343804966463325
boot154	-0.129547431380341	0.0329736705837003
boot155	0.26483148410326	0.0306847252143314
boot156	-0.387288262488676	0.0309296555053368
