V1	V2
boot74	0.652082162786929	0.0478022089343123
boot75	0.534506923463588	0.0496782567072822
boot76	-0.196502233710318	0.0462202119996235
boot77	-0.0896686937450792	0.0445931020506984
boot78	0.559509389941107	0.0452209599332201
boot79	0.403884541353616	0.0409430713469462
boot80	0.760219418615346	0.0476244300436807
boot81	0.796879786767884	0.0509976008385313
boot82	0.349823595060811	0.0508984959294338
boot83	1.01030414712201	0.0483766791510178
boot84	0.526945951574119	0.049661762858926
boot85	0.0555643695157081	0.046919164078098
boot86	0.787675639130976	0.0459016089885326
boot87	0.243693747494527	0.0492886191249066
boot88	0.438086953989262	0.0460531010523571
boot89	0.654206082756894	0.049397208689306
boot90	0.366675703774995	0.0476701399811312
boot91	0.722481145334983	0.0485966060626125
boot92	0.356489456365452	0.0522507107153975
boot93	0.290074330364545	0.0458797413146209
boot94	0.611458967747653	0.0452972393389276
boot95	0.383086820248355	0.0544111888299292
boot96	0.487281714919278	0.0427424191211689
boot97	0.67789553234747	0.0463476673933898
boot98	0.368379328970757	0.0449440760957001
boot99	0.520081862134902	0.051031826015729
boot100	0.244143807694203	0.0481885837904135
boot101	0.120220924608754	0.0492490077336455
boot102	0.324142555981501	0.0461147774200504
boot103	0.335425295756598	0.0452069430306124
boot104	0.40506682621715	0.042953130780701
boot105	0.361420208717878	0.0420071195181237
boot106	0.870230401836485	0.0489083609875837
boot107	0.415765424387647	0.0525436214048409
boot108	-0.365101338045178	0.0442787961717802
boot109	0.692484746310253	0.0443375396721561
boot110	0.847760799859625	0.0453739629075179
boot111	0.492471976212642	0.0453316869176265
boot112	0.381697598597626	0.0512074274806701
boot113	0.960374249406686	0.0491173186750129
boot114	-0.110546583877234	0.0470263223588777
boot115	0.541366587992463	0.0471677558113504
boot116	0.308734359838447	0.0486322997702872
boot117	0.114123937187414	0.0499432335476888
boot118	0.68186181038404	0.0488859870552456
boot119	0.143948093470137	0.049251469892849
boot120	0.494449113072063	0.0479887458662713
boot121	0.232959194606741	0.0466083031137597
boot122	0.649768507571707	0.04394691100204
boot123	0.289959510504487	0.0484537478524772
boot124	0.233087410245707	0.0441362962276271
boot125	0.316478626443024	0.0445063613838862
boot126	0.307569098097623	0.0460829963435783
boot127	0.61530060365384	0.0474319591845193
boot128	1.09315629830373	0.0502997733518109
boot129	-0.220641322574462	0.0448283736475222
boot130	0.643916091701014	0.0466456542214785
boot131	0.327610928901329	0.0436807451649901
boot132	0.169586792570507	0.0457935740960287
boot133	0.747231757622082	0.0433466065062258
boot134	0.475464839296764	0.0482503140555008
boot135	0.919457782479312	0.0442260546936743
boot136	0.638733667623385	0.0453076504122898
boot137	0.378714237998194	0.0432400857917327
boot138	0.984768346864511	0.0445980214964624
boot139	0.104496022318496	0.0451324633317851
boot140	0.749690017342069	0.0470402970775081
boot141	0.772903156169889	0.0471995199898543
boot142	0.385726517335952	0.0507438791936862
boot143	0.391540825560808	0.0446256111068662
boot144	0.661151641441791	0.0506282319999371
boot145	0.58538868439213	0.0441015705437033
boot146	0.419466430584316	0.0485875166422987
boot147	0.578781423823908	0.0542660113615325
boot148	0.507383510642793	0.0508505763340322
boot149	-0.0306579246686589	0.0437199076488582
boot150	0.155457923397793	0.0475120812166129
boot151	0.739888187283565	0.044612940257625
boot152	0.286232560397856	0.0475684485187168
boot153	1.43969924019491	0.0488855402195455
boot154	0.47054453850957	0.0491571507200401
boot155	0.774795215510279	0.042713557224215
boot156	0.148368054481254	0.0426072027681061
boot157	0.556083982576651	0.0483995720932548
boot158	0.122833218909382	0.0511258017729208
boot159	-0.00368535266542628	0.0484270842731184
boot160	0.0762141582090192	0.0485256271133371
boot161	0.252563630348724	0.0452424684688006
boot162	0.468492152878806	0.0415989372797207
boot163	0.647953239263842	0.048784841378212
boot164	0.151959796655952	0.0442464050805491
boot165	0.628046060568142	0.0508493228469651
boot166	0.346712933201817	0.0536290667125356
boot167	0.541355536373299	0.047753509949624
boot168	0.256035108127758	0.0489618284312165
boot169	0.482992458640502	0.0467664550041283
boot170	-0.0420194930005317	0.0473794218372339
boot171	0.252496225115131	0.0450253976064168
boot172	0.224629212783216	0.0452162745992091
boot173	0.458601291514661	0.0465161902553033
boot174	0.0776544885285219	0.0475793105148618
boot175	0.991145749322029	0.0409898996934328
boot176	0.940495077482757	0.044387462711305
boot177	0.505594351443788	0.0489493501592481
boot178	0.78761493427975	0.0476518992198551
boot179	0.0893962709897045	0.0440861980099786
boot180	0.335981930956161	0.044807748913587
boot181	0.19058572017172	0.0502640223140216
boot182	0.110536291682303	0.048806811313829
boot183	0.794745770236383	0.0468083623662577
boot184	0.356666877018843	0.0452862927736631
boot185	0.17395408260682	0.0502634990072937
boot186	1.04069697906678	0.0414822938507539
boot187	0.944969611403285	0.0433989563451699
boot188	1.07001072167931	0.0466666114469124
boot189	0.0918948173427021	0.0440072882852859
boot190	0.0418282833709601	0.046709344699891
boot191	0.00740394882433964	0.0521329265495579
boot192	0.738264386840163	0.0447005059558025
boot193	0.201773531537938	0.0435943547210754
boot194	0.433403470767228	0.0476818095765903
boot195	0.720074922778845	0.0499262366638728
boot196	0.304923420946888	0.0427301174058385
boot197	0.459788505006945	0.0472387737775345
boot198	0.635605003030055	0.043828344165283
boot199	0.72618144826343	0.0516596176406525
boot200	0.954392918988353	0.0507547647156853
boot201	0.549447012737477	0.0450795309396968
boot202	0.514233594987347	0.0501129324459011
boot203	0.484056819039387	0.044328352828669
boot204	0.440265065384803	0.0461560574104254
boot205	0.508126272924981	0.0491030593014356
boot206	0.33907286095045	0.0442945788977083
boot207	0.552607648340637	0.0464513552947395
boot208	0.808272169725264	0.0424538927517267
boot209	0.280941576803459	0.0419146872495053
boot210	0.442372266723316	0.0475372943760009
boot211	0.294964875541588	0.0442602848100896
boot212	0.185104925592954	0.0490976384051497
boot213	0.759634512972364	0.0457210349969803
boot214	0.0984512824069101	0.0490591488016974
boot215	0.367458414091416	0.0474223604223608
boot216	0.223781703713665	0.0476140998112251
boot217	0.818682526203008	0.0509558187352325
boot218	0.0850924756960133	0.0505098646151042
boot219	0.078288141551549	0.0513592628457139
boot220	0.839293067243318	0.0462009137692522
boot221	0.182757261859485	0.0459028644714232
boot222	-0.398701642139847	0.0450554136338446
boot223	1.03356152226627	0.0495247827944414
boot224	0.650746060986643	0.0425105597579123
boot225	0.164341963048542	0.0381866386725802
boot226	0.072444922386335	0.0492773256286863
boot227	0.136189651011986	0.0432305288411795
boot228	0.282900203175114	0.0471983611503702
boot229	0.0761291944585016	0.0463904676476128
boot230	0.74951687031085	0.0433432742945326
boot231	-0.00367319682491872	0.0466506908207741
boot232	0.311129850157498	0.0491836381205063
boot233	0.615433628581469	0.046731560997908
boot234	0.610222691204424	0.0554776948420281
boot235	-0.619573908465672	0.0484117699035702
boot236	0.672806918258686	0.0438907955390327
boot237	0.322203461653659	0.0497643883523374
boot238	0.53117520465869	0.0471709690205867
boot239	0.692480577735818	0.0485074293113107
boot240	0.361546697296135	0.0458430544500499
boot241	0.451325081381421	0.0483043788897007
boot242	-0.105426468361463	0.0500853946758685
boot243	0.562933517729555	0.0498367019150601
boot244	0.388391050973051	0.0465859941152751
boot245	0.484912286359521	0.0446191588790378
boot246	0.183597975620781	0.0462960330902172
boot247	-0.110130970556536	0.0433920156692885
boot248	0.72063815769523	0.0487856089842545
boot249	0.441945080718465	0.0457366593038258
boot250	0.498191594313431	0.0498000835115861
boot251	0.149865106754361	0.0439954909371701
boot252	0.0601176856391015	0.0428510761620549
boot253	1.25537351619632	0.0454431962001332
boot254	0.0814953539077857	0.0492011502188836
boot255	0.0265571123920219	0.0438110969889398
boot256	1.35045746510134	0.0502408958674071
boot257	-0.0301852080606039	0.0425522663223305
boot258	0.345158132043492	0.0436530010644575
boot259	0.0981731696752727	0.0425879693951194
boot260	0.854612223046421	0.0472190491233293
boot261	3.80533566264347e-05	0.0486991883740854
boot262	0.719679693715787	0.0468477256587559
boot263	0.305219785948938	0.0453167459989044
boot264	0.381904848575502	0.0459442449187268
boot265	0.308429595412077	0.0393525394485599
boot266	0.372812427071968	0.0469422528191743
boot267	-0.0127454426185055	0.0423113726453022
boot268	-0.214927827008165	0.0509713629320929
boot269	0.886656208601304	0.0502040647139816
boot270	0.506161859013754	0.04239415235432
boot271	0.0687621218518033	0.0455065399682312
boot272	0.387128635333108	0.0488182487873625
boot273	0.275000060210117	0.0459763363267509
boot274	0.950702262309952	0.0420856049597317
boot275	0.45812346692558	0.0505650950355481
boot276	0.541972689637659	0.0472558733635943
boot277	0.380344065861845	0.045611784293814
boot278	0.628898545862004	0.0470816247311525
boot279	0.72824754010923	0.0462495912976979
boot280	0.197535692268077	0.0481533405575378
boot281	0.0854120950736215	0.0468721496892802
boot282	0.402738234066519	0.0429485484529644
boot283	0.221163363171513	0.0450153112088021
boot284	-0.396694148400659	0.0445880376091102
boot285	0.531173168847391	0.0412123201781281
boot286	0.220136319531891	0.0398651876891108
boot287	0.196526666689628	0.0473152063322674
boot288	0.35519892097851	0.0472174928099489
boot289	0.633359079630043	0.0437545170367011
boot290	-0.0400380089937813	0.0489029345824752
boot291	0.995355341526357	0.0500406625568593
boot292	0.0604548670098221	0.0511141036995741
boot293	0.785159394657888	0.0455811798112842
boot294	0.576052468231274	0.0479070808319367
boot295	0.879314281451729	0.0460712950105676
boot296	0.75960813498873	0.0498508522264009
boot297	0.119179348271336	0.0477639617943326
boot298	0.965082604646989	0.0437807669857815
boot299	0.46579923836545	0.0450709874135811
boot300	0.174464392775305	0.0498242054903428
boot301	-0.122880126707197	0.0436901983619214
boot302	0.547004232573735	0.0474211897187254
boot303	0.347809768073814	0.0389146512574197
boot304	0.503947447503864	0.048234324360055
boot305	0.875914341019458	0.0479156168812646
boot306	0.963463796187917	0.0487368603944943
boot307	0.441897400302451	0.0500962030223339
boot308	1.3092528461595	0.0491630512963778
boot309	0.559314636586579	0.0473917381778034
boot310	0.274084731645399	0.0453728941031622
boot311	0.663762095507896	0.0506220555927311
boot312	0.43096707278269	0.0469990250287423
boot313	1.38879626658394	0.0462194563384774
boot314	0.541466544394723	0.0480811512429198
boot315	0.672632574438224	0.0413209453435532
boot316	0.227447845774244	0.0462989222574135
boot317	1.18592948424065	0.050823372144874
boot318	0.0757133288097091	0.0493115350589442
boot319	0.627048150856946	0.0469163250878348
