V1	V2
boot1	0.377583302461927	0.0249745870708809
boot2	0.0487000887298035	0.022612843994626
boot3	-1.12013362292223	0.0227222769128771
boot4	0.590076449187975	0.0224553026943961
boot5	0.114178174797713	0.0221589135273492
boot6	-0.651039758731719	0.0275550420200953
boot7	-0.373404318696666	0.0209550074783154
boot8	-0.215754898780601	0.0234089330725847
boot9	-0.647370895744137	0.0230993513655443
boot10	-0.412381566910654	0.0254613916481207
boot11	-0.566481364171452	0.0223084980340717
boot12	-0.590003017617173	0.0221563303905163
boot13	-0.262390211769461	0.0213557000070105
boot14	-0.433768126781998	0.0260549300997222
boot15	-0.857768916975997	0.0251345068396041
boot16	-0.246720282179715	0.0208439310249213
boot17	-0.599969307832048	0.0235494657712784
boot18	0.0306619144618671	0.0230014587650442
boot19	-0.249376593369523	0.0232309374426373
boot20	-0.76454521786102	0.0259230417826861
boot21	0.744427922459519	0.0229806364899873
boot22	-0.0934790851264415	0.020928973908406
boot23	0.14165475823951	0.0221394364834776
boot24	0.044360760262494	0.0225938347402282
boot25	-0.259628623853395	0.0196025362994418
boot26	0.0687511895676431	0.0236414734728019
boot27	0.324762771861115	0.0193082126342592
boot28	0.0896382109021969	0.0197350223493513
boot29	-0.386812727752253	0.0235576632334412
boot30	0.829971372669451	0.0219398646447396
boot31	0.0479111178709252	0.0198713688512009
boot32	-0.106412844059849	0.0200044754829593
boot33	-0.774276963238201	0.0231520134891515
boot34	-0.468516959392881	0.0224036519905979
boot35	-0.120260400420027	0.0233183813710789
boot36	0.312892224087356	0.0208700552142957
boot37	-0.455938322345461	0.0215768841215533
boot38	0.415631536248596	0.0233621169897744
boot39	-0.627504525389741	0.0239986544506338
boot40	-0.0909156178406364	0.0233039065578993
boot41	-0.644871671472134	0.0228519081629651
boot42	0.104691918990881	0.0239643190479993
boot43	0.31771109584982	0.0214806280175084
boot44	0.122125129941243	0.0221639099549153
boot45	-0.1589036708106	0.0268294002627759
boot46	-0.384548934445562	0.0232476031608851
boot47	-0.194511770723894	0.0227915771510544
boot48	-0.54266481683554	0.0218071016372026
boot49	-0.339461186470824	0.0226381738492215
boot50	0.375151246265921	0.0223276490396636
boot51	-1.00320734096518	0.0229722578706417
boot52	0.474469506762552	0.0221786468138568
boot53	-0.708143941225878	0.0265879972616569
boot54	-0.530655003023023	0.0223916052500891
boot55	-0.5171817189987	0.0224727701031163
boot56	0.306382812974819	0.0215527762436125
boot57	0.642808404878775	0.021717236557697
boot58	-0.499261930904547	0.0215032182955482
boot59	-0.203543038484515	0.0233225302537435
boot60	-0.21910793741145	0.0245845016662327
boot61	0.362757334341119	0.021897389564406
boot62	-0.7333568507776	0.0222855123151725
boot63	-0.749528167699321	0.0227951270005225
boot64	-0.703821922202353	0.021877459470802
boot65	0.479203414135922	0.024750740344736
boot66	-0.164816792785585	0.0225639256733039
boot67	-0.326014972904383	0.0222252466005851
boot68	-0.402959691460383	0.0225780232565921
boot69	-0.842306024866255	0.0218104698547421
boot70	-0.37734567479549	0.0222654824213693
boot71	0.534180497985584	0.0211343263444872
boot72	-0.261232447036849	0.0249899001580362
boot73	-0.741770303457752	0.0216042393187453
boot74	-0.0916748420493955	0.0221791264103672
boot75	-0.245443744428231	0.0215203817729832
boot76	-0.483568326140271	0.0205928016767704
boot77	-0.735804036818243	0.0219640130305296
boot78	-0.152051189090304	0.0209725768760498
boot79	-0.488073163403681	0.02147545713091
boot80	0.00791306587781417	0.0236852679598314
boot81	-0.0869087467958836	0.0237501516538902
boot82	-0.144150298930147	0.022340698399601
boot83	0.347120858158803	0.0214972022872583
boot84	0.223806875079691	0.0230962060874505
