"truth"	"bias"	"biasPercent"	"sd"	"RMSE"	"coverage"	"widthCI"	"num.sim"	"sdBoot"
"truncate0.06"	0.75	-0.0142406158560515	-0.0189874878080687	0.24408324355769	0.244254522304155	0.968	1.08294870701137	500	0.276262425258003
"truncate rest0.06"	0.75	-0.0139665420359641	-0.0186220560479521	0.200069785260322	0.200356999959086	0.964	0.837252013037778	500	0.213584697203515
"truncate.aug0.06"	0.75	-0.00673388391242321	-0.00897851188323094	0.161974275176002	0.161952275932447	0.966	0.659162164981373	500	0.168153613515656
"truncate.aug rest0.06"	0.75	-0.00651923000511348	-0.00869230667348464	0.163242225420889	0.16320915560073	0.966	0.671052629793619	500	0.171186895355515
"truncate pencomp0.06"	0.75	-0.00385128583014653	-0.00513504777352871	0.13954431645846	0.139457891228473	0.958	0.570877090088098	500	0.145279732101745
"truncate0.07"	0.75	-0.0190756387668275	-0.0254341850224367	0.237072578853425	0.237602358623157	0.966	1.05364371260285	500	0.268786661378277
"truncate rest0.07"	0.75	-0.0119867286990997	-0.015982304932133	0.186487409669716	0.186686048011884	0.974	0.805260355053051	500	0.205423559962513
"truncate.aug0.07"	0.75	-0.000344854205923267	-0.000459805607897689	0.158984582761912	0.15882589299384	0.96	0.657780201589671	500	0.1678010718341
"truncate.aug rest0.07"	0.75	4.88701265516639e-05	6.51601687355519e-05	0.159795781350246	0.159635913071433	0.962	0.670460821087939	500	0.171035923746923
"truncate pencomp0.07"	0.75	-0.00341245414495503	-0.00454993885994004	0.139661995539356	0.139563988533327	0.958	0.5721221641853	500	0.145616652320373
"truncate0.08"	0.75	-0.0128701066360669	-0.0171601421814226	0.237155374792102	0.237267414732871	0.966	1.0306882799305	500	0.26293068365574
"truncate rest0.08"	0.75	-0.0108291826369231	-0.0144389101825641	0.186248140552484	0.186376673208111	0.974	0.783646642324924	500	0.19990985773595
"truncate.aug0.08"	0.75	-0.00172860963569505	-0.0023048128475934	0.160571303199535	0.1604199651404	0.958	0.658364819780066	500	0.167950209127568
"truncate.aug rest0.08"	0.75	-0.00189611756512438	-0.00252815675349917	0.160303112821144	0.160153954262794	0.96	0.672446482264374	500	0.171542469965402
"truncate pencomp0.08"	0.75	-0.00307138052450336	-0.00409517403267114	0.139994413747405	0.13988807092474	0.96	0.575232187420742	500	0.146424858653924
"truncate0.09"	0.75	-0.0116624319358618	-0.0155499092478158	0.232810242441488	0.23286953447446	0.974	1.01237967901736	500	0.258260122198307
"truncate rest0.09"	0.75	-0.0118639288575422	-0.0158185718100563	0.183175832127537	0.183376747469796	0.968	0.769288526060271	500	0.196247072974559
"truncate.aug0.09"	0.75	-0.00522952578393102	-0.00697270104524136	0.162405354846515	0.162327127197463	0.948	0.660960730402716	500	0.168612431225183
"truncate.aug rest0.09"	0.75	-0.00546356042390812	-0.0072847472318775	0.162281588320382	0.162211262779364	0.96	0.676488108587228	500	0.172573497088579
"truncate pencomp0.09"	0.75	-0.00284131256505559	-0.00378841675340746	0.14060683318892	0.140494889705748	0.962	0.58003617722183	500	0.147661265525216
"truncate0.1"	0.75	-0.0120230843767878	-0.0160307791690504	0.229522207081068	0.229607572205729	0.97	0.999163091618414	500	0.254888543780208
"truncate rest0.1"	0.75	-0.0117805844576289	-0.0157074459435052	0.182325620474531	0.18252377595213	0.97	0.761611806267715	500	0.194288726088703
"truncate.aug0.1"	0.75	-0.00537847941225102	-0.00717130588300137	0.163822463601191	0.163746914541895	0.96	0.665580830211247	500	0.169791028115114
"truncate.aug rest0.1"	0.75	-0.00526280560299264	-0.00701707413732352	0.163943525961965	0.163864034700256	0.964	0.682079479440016	500	0.173999867204086
"truncate pencomp0.1"	0.75	-0.00264150160984665	-0.0035220021464622	0.141513608700091	0.141396700015179	0.964	0.585893623523685	500	0.149164012319799
"truncateQ0"	0.75	0.909703705313701	1.2129382737516	0.695566300187172	1.1447295245872	0.57	1.8525727991407	500	0.472595101821608
"truncateQ rest0"	0.75	0.606218558398805	0.808291411198407	0.694931983295594	0.921664549080336	0.874	1.77288950672935	500	0.452267731308507
"truncateQ.aug0"	0.75	-0.00344426073263731	-0.00459234764351641	0.282375899980109	0.282114408571756	0.894	0.881476298134992	500	0.224866402585457
"truncateQ.aug rest0"	0.75	-0.00387104254364603	-0.0051613900581947	0.258367046945235	0.258137577380128	0.9	0.794584376756786	500	0.202700096111425
"truncateQ pencomp0"	0.75	-0.00468671327897442	-0.00624895103863257	0.153654681800287	0.153572481252432	0.956	0.633492377213686	500	0.161026061951345
"truncateQ0.005"	0.75	0.14985905110487	0.199812068139826	0.324382613798106	0.357031325197488	0.98	1.88496611499518	500	0.480858702804892
"truncateQ rest0.005"	0.75	0.0914185562156575	0.121891408287543	0.311790707378225	0.324617268082821	0.988	1.55553571279896	500	0.396820334897694
"truncateQ.aug0.005"	0.75	-0.00394753649737373	-0.00526338199649831	0.19274805060312	0.192595665666905	0.984	0.899940952932569	500	0.229576773707288
"truncateQ.aug rest0.005"	0.75	-0.00413995460787206	-0.00551993947716274	0.195227978435374	0.195076587167682	0.98	0.836447499747447	500	0.213379464221288
"truncateQ pencomp0.005"	0.75	-0.00407262074210747	-0.00543016098947663	0.145533253237971	0.145444677393642	0.954	0.588714090642691	500	0.149758509650736
"truncateQ0.01"	0.75	0.0952873112316041	0.127049748308805	0.257679531617663	0.274491557637785	0.986	1.51471646883964	500	0.386407262459092
"truncateQ rest0.01"	0.75	0.0484932221855452	0.064657629580727	0.249111884142202	0.253543309825309	0.99	1.21344088405673	500	0.309551245932839
"truncateQ.aug0.01"	0.75	-0.0115650734858443	-0.0154200979811258	0.177131770740278	0.17733207211869	0.986	0.836740488092104	500	0.213454206145945
"truncateQ.aug rest0.01"	0.75	-0.0120727101132446	-0.0160969468176595	0.179495193927897	0.179721556646401	0.978	0.79719110055761	500	0.20336507667286
"truncateQ pencomp0.01"	0.75	-0.00419768238316679	-0.00559690984422239	0.143821488714424	0.143738901874861	0.96	0.58306719789018	500	0.148380544055234
"truncateQ0.015"	0.75	0.0552884292390227	0.0737179056520302	0.233500340530524	0.239729377877501	0.982	1.26716773711032	500	0.32325707579345
"truncateQ rest0.015"	0.75	0.0239805361906567	0.0319740482542089	0.211394416093336	0.212540090507939	0.986	1.00615470597138	500	0.25667211887025
"truncateQ.aug0.015"	0.75	-0.00797886648428114	-0.0106384886457082	0.172155449941049	0.17216819176866	0.982	0.793166143134827	500	0.202338301820109
"truncateQ.aug rest0.015"	0.75	-0.00884617544665029	-0.0117949005955337	0.174010300826695	0.174061139960194	0.974	0.774413396363175	500	0.197554437847749
"truncateQ pencomp0.015"	0.75	-0.00365037395905055	-0.00486716527873407	0.143840187003563	0.143742633301559	0.964	0.590056562381565	500	0.150194427793488
"truncateQ0.02"	0.75	0.0439110313059809	0.0585480417413079	0.214787459470228	0.219019551891008	0.982	1.15369427825412	500	0.294309764860746
"truncateQ rest0.02"	0.75	0.0173444222291509	0.0231258963055345	0.18768326331929	0.188296007121714	0.982	0.918749236320487	500	0.234374805183798
"truncateQ.aug0.02"	0.75	-0.00425555517454471	-0.00567407356605961	0.166136935022009	0.16602526303546	0.978	0.780462095251136	500	0.199097473278351
"truncateQ.aug rest0.02"	0.75	-0.0046472482453726	-0.00619633099383013	0.167746406431593	0.167643001861772	0.974	0.772622800699639	500	0.197097653239704
"truncateQ pencomp0.02"	0.75	-0.00280320951354751	-0.00373761268473002	0.144634262391135	0.144516745400973	0.966	0.601601400997871	500	0.153159098173625
"truncateQ0.025"	0.75	0.0346993983556608	0.0462658644742144	0.213529967885774	0.216120117844623	0.982	1.10639663328864	500	0.282244039104246
"truncateQ rest0.025"	0.75	0.0128030575379932	0.017070743383991	0.182504249160073	0.182770631234562	0.978	0.884261171707007	500	0.225576829517094
"truncateQ.aug0.025"	0.75	-1.23772843521245e-05	-1.65030458028327e-05	0.167505660302961	0.167338071263718	0.978	0.781419052974976	500	0.199341595146678
"truncateQ.aug rest0.025"	0.75	-0.00105466605612226	-0.00140622140816302	0.169418259302274	0.16925204226931	0.976	0.781900584762142	500	0.199464434888302
"truncateQ pencomp0.025"	0.75	-0.00220315142346957	-0.00293753523129275	0.145995597986631	0.145866168381862	0.966	0.616363158960921	500	0.156936997394234
"truncateQ0.03"	0.75	0.0249993868224877	0.0333325157633169	0.208675057925523	0.209959897556939	0.992	1.0848775155523	500	0.276754468253139
"truncateQ rest0.03"	0.75	0.00715593351249241	0.00954124468332321	0.185635212241477	0.185587495657239	0.982	0.874909961017024	500	0.223191316585976
"truncateQ.aug0.03"	0.75	-0.00383823234868348	-0.00511764313157797	0.17200670852055	0.171877477256573	0.97	0.792061775645863	500	0.202056575419863
"truncateQ.aug rest0.03"	0.75	-0.00418492436360032	-0.00557989915146709	0.175095630127141	0.174970501291419	0.968	0.797899270371701	500	0.203545732237679
"truncateQ pencomp0.03"	0.75	-0.00171983216348161	-0.00229310955130881	0.148151855794825	0.148013621850728	0.964	0.633082859553286	500	0.161210037832021
