"truth"	"bias"	"biasPercent"	"sd"	"RMSE"	"coverage"	"widthCI"	"num.sim"	"sdBoot"
"truncateQ pencomp0.01"	0.209888881360526	0.00871569166546773	0.0415252661740419	0.0426254684376572	0.043465618362312	0.922	0.154014501569407	500	0.0392238262555909
"truncateQ0.015"	0.215949381412191	-0.0449055190168308	-0.207944652229024	0.0538272536496278	0.0700577199683333	0.892	0.241827911056654	500	0.0616907936369015
"truncateQ rest0.015"	0.215949381412191	-0.0522148032193882	-0.241791862879773	0.049056586708985	0.0716109019450008	0.85	0.213776616200403	500	0.0545348510715315
"truncateQ.aug0.015"	0.215949381412191	0.00823970401010897	0.0381557194386287	0.0476053151671691	0.0482662016557692	0.956	0.198328165969371	500	0.0505939198901456
"truncateQ.aug rest0.015"	0.215949381412191	0.00826251855436854	0.0382613670867506	0.0473510658807393	0.0480198751146159	0.956	0.197174018647358	500	0.0502994945528975
"truncateQ pencomp0.015"	0.215949381412191	0.00727683785878765	0.0336969608859313	0.0443380674130535	0.044887468882793	0.926	0.161409844990972	500	0.0411094088858457
"truncateQ0.02"	0.220323349569904	-0.0474501761107041	-0.215366079915417	0.0560780570212413	0.0734164708717047	0.888	0.243778038428872	500	0.0621882751094062
"truncateQ rest0.02"	0.220323349569904	-0.0543821783167235	-0.246828937663138	0.0513940409245392	0.0747896120202533	0.828	0.218388830051319	500	0.0557114362375813
"truncateQ.aug0.02"	0.220323349569904	0.00677363319003812	0.0307440550593527	0.0501429439197398	0.0505486726025667	0.96	0.206825470532026	500	0.0527615996255168
"truncateQ.aug rest0.02"	0.220323349569904	0.00668476265006219	0.030340690912296	0.0502930916548568	0.0506855238678174	0.956	0.206018050070029	500	0.0525556250178644
"truncateQ pencomp0.02"	0.220323349569904	0.00632773920111346	0.0287202387466691	0.0460077810664808	0.0463952882329791	0.938	0.168124345944689	500	0.042821635407319
