pointEst	sd	95CILower	95CIupper
ATE	0.0592887028773025	0.016343221650223	0.0272559884428653	0.0913214173117396
ATE.aug	0.0652894533951365	0.0156805654399211	0.0345555451328911	0.0960233616573818
ATM	0.065784279533846	0.0143046400387513	0.0377471850578935	0.0938213740097985
ATM.aug	0.0684344600421219	0.0142840893933021	0.0404376448312497	0.0964312752529941
ATT	0.0580592833469269	0.0205001686030687	0.0178789528849123	0.0982396138089416
ATT.aug	0.0788506561191493	0.0178439445709686	0.0438765247600509	0.113824787478248
ATC	0.0599911641004316	0.0201961173961836	0.0204067740039118	0.0995755541969515
ATC.aug	0.0563985506682882	0.0192316307442657	0.0187045544095274	0.094092546927049
ATO	0.065389126755707	0.0138749614444119	0.0381942023246598	0.0925840511867543
ATO.aug	0.0671971272309581	0.0138703021514087	0.0400113350141969	0.0943829194477192
