pointEst	sd	95CILower	95CIupper
truncate0.01	0.0654948811835401	0.0156570978518023	0.0348069693940076	0.0961827929730727
truncate0.02	0.0645534973735611	0.015674280919662	0.0338319067710236	0.0952750879760986
truncate0.03	0.06220958815616	0.015631288102741	0.0315722634747876	0.0928469128375324
truncate0.04	0.0647522110554381	0.0153878009267232	0.0345921212390607	0.0949123008718155
truncate0.05	0.0663790635186456	0.0149778784631366	0.0370224217308978	0.0957357053063934
truncate0.06	0.0640599898655289	0.0148292930459858	0.0349945754953967	0.0931254042356611
truncate0.07	0.060053447266904	0.0147902470680779	0.0310645630134714	0.0890423315203367
truncate0.08	0.0646800144629166	0.0146584070429762	0.0359495366586833	0.09341049226715
truncate0.09	0.0603918597156633	0.014462812894853	0.0320447464417514	0.0887389729895752
truncate0.1	0.0593309617158959	0.0145284324476836	0.030855234118436	0.0878066893133558
