pointEst	sd	95CILower	95CIupper
truncate0.01	0.0598390384634951	0.0162916475597686	0.0279074092463488	0.0917706676806415
truncate0.02	0.0595528396068403	0.0164072003010874	0.0273947270167091	0.0917109521969715
truncate0.03	0.0587597564991468	0.0160059770996398	0.0273880413838527	0.0901314716144409
truncate0.04	0.0632708982999762	0.0159620579712076	0.0319852646764094	0.094556531923543
truncate0.05	0.0662611437622326	0.0154688828605043	0.0359421333556442	0.0965801541688209
truncate0.06	0.0635392403406764	0.0151885763519233	0.0337696306909067	0.0933088499904462
truncate0.07	0.0599080556198743	0.0150790597637044	0.0303530984830137	0.089463012756735
truncate0.08	0.0659227993807021	0.0149186726057289	0.0366822010734734	0.0951633976879308
truncate0.09	0.0610977638290414	0.0148845095473844	0.031924125116168	0.0902714025419147
truncate0.1	0.059032075885059	0.0147358830545633	0.0301497450981149	0.0879144066720032
