pointEst	sd	95CILower	95CIupper
truncate0.01	1.84395855934576	2.01880181390532	-2.11289299590868	5.80081011460019
truncate0.02	1.10534322609801	1.46564644878545	-1.76732381352146	3.97801026571748
truncate0.03	0.887607027506839	1.23155692663942	-1.52624454870642	3.3014586037201
truncate0.04	1.3558257618892	1.21230404543445	-1.02029016716232	3.73194169094072
truncate0.05	1.67378508843188	1.19503894713588	-0.668491247954435	4.0160614248182
truncate0.06	1.92573765182707	1.16234571886933	-0.352459957156826	4.20393526081096
truncate0.07	1.88664919830726	1.13589706547472	-0.339709050023195	4.11300744663771
truncate0.08	1.96757857276227	1.13645954207797	-0.259882129710557	4.1950392752351
truncate0.09	1.96777570855679	1.13046233863154	-0.247930475161025	4.18348189227461
truncate0.1	2.14019079359268	1.13017340267552	-0.0749490756513418	4.3553306628367
