pointEst	sd	95CILower	95CIupper
truncate0.01	-0.170636566794087	0.401819494113013	-0.958532558081603	0.617259424493428
truncate0.02	-0.13809352304826	0.375949881637836	-0.87523672754349	0.599049681446969
truncate0.03	-0.10237462903956	0.360030791512152	-0.80828135833753	0.60353210025841
truncate0.04	-0.0614231478716461	0.349568178352372	-0.746795960951326	0.623949665208034
truncate0.05	-0.0206841199071925	0.34056781469442	-0.68839137961926	0.647023139804875
truncate0.06	0.0121685201200332	0.335576271828592	-0.645736734532479	0.670073774772545
truncate0.07	0.0355043912021388	0.332074968696216	-0.615521873510443	0.686530655914721
truncate0.08	0.0554925727310916	0.332815665398218	-0.596975499554386	0.70796064501657
truncate0.09	0.0717819446260334	0.334536870266106	-0.584050985513049	0.727614874765116
truncate0.1	0.088646779872562	0.336581068747708	-0.571184350300248	0.748477910045372
