pointEst	sd	95CILower	95CIupper
truncate0.01	-0.281219452809047	0.77735823897776	-1.80484160120546	1.24240269558736
truncate0.02	-0.323342392777811	0.602372773270414	-1.50399302838782	0.8573082428322
truncate0.03	-0.422817121523958	0.544492844889507	-1.49002309750739	0.644388854459476
truncate0.04	-0.189880863528092	0.534740597822246	-1.23797243525969	0.85821070820351
truncate0.05	0.100724848549502	0.518829861314567	-0.91618167962705	1.11763137672605
truncate0.06	0.196124738638371	0.503439586818343	-0.790616851525581	1.18286632880232
truncate0.07	0.318842379912282	0.496167497970242	-0.653645916109393	1.29133067593396
truncate0.08	0.336846316276033	0.498572781976927	-0.640356336398744	1.31404896895081
truncate0.09	0.298997464755313	0.513025744767203	-0.706532994988406	1.30452792449903
truncate0.1	0.766913439111227	0.514475278072448	-0.241458105910771	1.77528498413322
