pointEst	sd	95CILower	95CIupper
truncate0.01	-0.125947223769644	0.582537826978589	-1.26772136464768	1.01582691710839
truncate0.02	-0.135731371094317	0.433424805827458	-0.985243990516133	0.7137812483275
truncate0.03	-0.179258291176888	0.393782571905213	-0.951072132111106	0.59255554975733
truncate0.04	-0.0232101781963987	0.388067674842718	-0.783822820888127	0.737402464495329
truncate0.05	0.108544676442811	0.383203899045408	-0.642534965686188	0.85962431857181
truncate0.06	0.210077374738148	0.374357573176736	-0.523663468688255	0.943818218164552
truncate0.07	0.224580079715662	0.370362501939509	-0.501330424085775	0.950490583517099
truncate0.08	0.239549284017725	0.372160788876965	-0.489885862181126	0.968984430216576
truncate0.09	0.197385326606669	0.376207168942485	-0.539980724520601	0.93475137773394
truncate0.1	0.416391290274312	0.377815738152917	-0.324127556505406	1.15691013705403
