pointEst	sd	95CILower	95CIupper
truncate0.01	0.500574250351441	1.70844204625609	-2.84797216031049	3.84912066101337
truncate0.02	-0.907996278491897	1.12993303977213	-3.12266503644527	1.30667247946148
truncate0.03	-0.919860084862041	0.932241715300215	-2.74705384685046	0.907333677126381
truncate0.04	-0.44389558461922	0.891141098636284	-2.19053213794634	1.3027409687079
truncate0.05	-0.00307258019103784	0.849276271803486	-1.66765407292587	1.66150891254379
truncate0.06	0.453171025863945	0.790675830923362	-1.09655360274584	2.00289565447373
truncate0.07	-0.04910706078903	0.789848493398674	-1.59721010785043	1.49899598627237
truncate0.08	0.186862585460776	0.77733201012646	-1.33670815438709	1.71043332530864
truncate0.09	0.287829595338113	0.805056656370973	-1.29008145114899	1.86574064182522
truncate0.1	-0.0844328279642532	0.808472677580635	-1.6690392760223	1.50017362009379
