pointEst	sd	95CILower	95CIupper
ATE	3.65961426062893	1.7769221483683	0.176846849827056	7.1423816714308
ATE.aug	-0.176778979608378	0.701595172984256	-1.55190551865752	1.19834755944076
ATM	-0.102041287095503	0.341135292525251	-0.770666460444994	0.566583886253989
ATM.aug	0.244351117238815	0.315741313150964	-0.374501856537073	0.863204091014704
ATT	4.36867854158002	1.35299218603698	1.71681385694754	7.02054322621249
ATT.aug	1.041734749534	0.403884816217094	0.250120509748498	1.8333489893195
ATC	-3.69388549598668	2.26589839966282	-8.13504635932582	0.747275367352448
ATC.aug	-1.95279949273543	0.904250535784997	-3.72513054287403	-0.180468442596838
ATO	0.157229105475857	0.295339542525939	-0.421636397874984	0.736094608826697
ATO.aug	0.20257914633106	0.305639468075152	-0.396474211096239	0.801632503758359
